dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay
20190502,Date,5/2/2019,2,Thursday,5,3,32,122,2-May
20190503,Date,5/3/2019,3,Friday,6,4,33,123,3-May
20190504,Date,5/4/2019,4,Saturday,7,5,34,124,4-May
20190505,Date,5/5/2019,5,Sunday,1,6,35,125,5-May
20190506,Date,5/6/2019,6,Monday,2,7,36,126,6-May
20190507,Date,5/7/2019,7,Tuesday,3,1,37,127,7-May
20190508,Date,5/8/2019,8,Wednesday,4,2,38,128,8-May
20190509,Date,5/9/2019,9,Thursday,5,3,39,129,9-May
20190510,Date,5/10/2019,10,Friday,6,4,40,130,10-May
20190511,Date,5/11/2019,11,Saturday,7,5,41,131,11-May
20190512,Date,5/12/2019,12,Sunday,1,6,42,132,12-May
20190513,Date,5/13/2019,13,Monday,2,7,43,133,13-May
20190514,Date,5/14/2019,14,Tuesday,3,1,44,134,14-May
20190515,Date,5/15/2019,15,Wednesday,4,2,45,135,15-May
20190516,Date,5/16/2019,16,Thursday,5,3,46,136,16-May
20190517,Date,5/17/2019,17,Friday,6,4,47,137,17-May
20190518,Date,5/18/2019,18,Saturday,7,5,48,138,18-May
20190519,Date,5/19/2019,19,Sunday,1,6,49,139,19-May
20190520,Date,5/20/2019,20,Monday,2,7,50,140,20-May
20190521,Date,5/21/2019,21,Tuesday,3,1,51,141,21-May
20190522,Date,5/22/2019,22,Wednesday,4,2,52,142,22-May
20190523,Date,5/23/2019,23,Thursday,5,3,53,143,23-May
20190524,Date,5/24/2019,24,Friday,6,4,54,144,24-May
20190525,Date,5/25/2019,25,Saturday,7,5,55,145,25-May
20190526,Date,5/26/2019,26,Sunday,1,6,56,146,26-May
20190527,Date,5/27/2019,27,Monday,2,7,57,147,27-May
20190528,Date,5/28/2019,28,Tuesday,3,1,58,148,28-May
20190529,Date,5/29/2019,29,Wednesday,4,2,59,149,29-May
20190530,Date,5/30/2019,30,Thursday,5,3,60,150,30-May
20190531,Date,5/31/2019,31,Friday,6,4,61,151,31-May
20190601,Date,6/1/2019,1,Saturday,7,5,62,152,1-Jun
20190602,Date,6/2/2019,2,Sunday,1,6,63,153,2-Jun
20190603,Date,6/3/2019,3,Monday,2,7,64,154,3-Jun
20190604,Date,6/4/2019,4,Tuesday,3,1,65,155,4-Jun
20190605,Date,6/5/2019,5,Wednesday,4,2,66,156,5-Jun
20190606,Date,6/6/2019,6,Thursday,5,3,67,157,6-Jun
20190607,Date,6/7/2019,7,Friday,6,4,68,158,7-Jun
20190608,Date,6/8/2019,8,Saturday,7,5,69,159,8-Jun
20190609,Date,6/9/2019,9,Sunday,1,6,70,160,9-Jun
20190610,Date,6/10/2019,10,Monday,2,7,71,161,10-Jun
20190611,Date,6/11/2019,11,Tuesday,3,1,72,162,11-Jun
20190612,Date,6/12/2019,12,Wednesday,4,2,73,163,12-Jun
20190613,Date,6/13/2019,13,Thursday,5,3,74,164,13-Jun
20190614,Date,6/14/2019,14,Friday,6,4,75,165,14-Jun
20190615,Date,6/15/2019,15,Saturday,7,5,76,166,15-Jun
20190616,Date,6/16/2019,16,Sunday,1,6,77,167,16-Jun
20190617,Date,6/17/2019,17,Monday,2,7,78,168,17-Jun
20190618,Date,6/18/2019,18,Tuesday,3,1,79,169,18-Jun
20190619,Date,6/19/2019,19,Wednesday,4,2,80,170,19-Jun
20190620,Date,6/20/2019,20,Thursday,5,3,81,171,20-Jun
20190621,Date,6/21/2019,21,Friday,6,4,82,172,21-Jun
20190622,Date,6/22/2019,22,Saturday,7,5,83,173,22-Jun
20190623,Date,6/23/2019,23,Sunday,1,6,84,174,23-Jun
20190624,Date,6/24/2019,24,Monday,2,7,85,175,24-Jun
20190625,Date,6/25/2019,25,Tuesday,3,1,86,176,25-Jun
20190626,Date,6/26/2019,26,Wednesday,4,2,87,177,26-Jun
20190627,Date,6/27/2019,27,Thursday,5,3,88,178,27-Jun
20190628,Date,6/28/2019,28,Friday,6,4,89,179,28-Jun
20190629,Date,6/29/2019,29,Saturday,7,5,90,180,29-Jun
20190630,Date,6/30/2019,30,Sunday,1,6,91,181,30-Jun
20190701,Date,7/1/2019,1,Monday,2,7,1,182,1-Jul
20190702,Date,7/2/2019,2,Tuesday,3,1,2,183,2-Jul
20190703,Date,7/3/2019,3,Wednesday,4,2,3,184,3-Jul
20190704,Date,7/4/2019,4,Thursday,5,3,4,185,4-Jul
20190705,Date,7/5/2019,5,Friday,6,4,5,186,5-Jul
20190706,Date,7/6/2019,6,Saturday,7,5,6,187,6-Jul
20190707,Date,7/7/2019,7,Sunday,1,6,7,188,7-Jul
20190708,Date,7/8/2019,8,Monday,2,7,8,189,8-Jul
20190709,Date,7/9/2019,9,Tuesday,3,1,9,190,9-Jul
20190710,Date,7/10/2019,10,Wednesday,4,2,10,191,10-Jul
20190711,Date,7/11/2019,11,Thursday,5,3,11,192,11-Jul
20190712,Date,7/12/2019,12,Friday,6,4,12,193,12-Jul
20190713,Date,7/13/2019,13,Saturday,7,5,13,194,13-Jul
20190714,Date,7/14/2019,14,Sunday,1,6,14,195,14-Jul
