calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
9,9,20001024,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102428,1024
9,9,20001025,2,February,2,2/2000,"February, 2000",2000102,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102529,1025
9,9,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103101,1031
9,9,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103102,1031
9,9,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103103,1031
9,10,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103104,1031
10,10,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103105,1031
10,10,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103106,1031
10,10,20001031,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103107,1031
10,10,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103208,1032
10,10,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103209,1032
10,10,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103210,1032
10,11,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103211,1032
11,11,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103212,1032
11,11,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103213,1032
11,11,20001032,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103214,1032
11,11,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103315,1033
11,11,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103316,1033
11,11,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103317,1033
11,12,20001033,3,March,3,3/2000,"March, 2000",2000103,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103318,1033
