monthNameDay,monthDayYear,monthNameDayYear,dayYear,yearQuarterMonthWeekDay,dayFrom1900,calendarWeekOfMonth,noncalendarWeekOfMonth,calendarWeekOfQuarter,noncalendarWeekOfQuarter
31-May,5/31/2019,31-May-19,151/2019,2019205531,43616,4,5,8,9
1-Jun,6/1/2019,1-Jun-19,152/2019,2019206101,43617,0,1,8,9
2-Jun,6/2/2019,2-Jun-19,153/2019,2019206102,43618,1,1,9,9
3-Jun,6/3/2019,3-Jun-19,154/2019,2019206103,43619,1,1,9,10
4-Jun,6/4/2019,4-Jun-19,155/2019,2019206104,43620,1,1,9,10
5-Jun,6/5/2019,5-Jun-19,156/2019,2019206105,43621,1,1,9,10
6-Jun,6/6/2019,6-Jun-19,157/2019,2019206106,43622,1,1,9,10
7-Jun,6/7/2019,7-Jun-19,158/2019,2019206107,43623,1,1,9,10
8-Jun,6/8/2019,8-Jun-19,159/2019,2019206208,43624,1,2,9,10
9-Jun,6/9/2019,9-Jun-19,160/2019,2019206209,43625,2,2,10,10
10-Jun,6/10/2019,10-Jun-19,161/2019,2019206210,43626,2,2,10,11
11-Jun,6/11/2019,11-Jun-19,162/2019,2019206211,43627,2,2,10,11
12-Jun,6/12/2019,12-Jun-19,163/2019,2019206212,43628,2,2,10,11
13-Jun,6/13/2019,13-Jun-19,164/2019,2019206213,43629,2,2,10,11
14-Jun,6/14/2019,14-Jun-19,165/2019,2019206214,43630,2,2,10,11
15-Jun,6/15/2019,15-Jun-19,166/2019,2019206315,43631,2,3,10,11
16-Jun,6/16/2019,16-Jun-19,167/2019,2019206316,43632,3,3,11,11
17-Jun,6/17/2019,17-Jun-19,168/2019,2019206317,43633,3,3,11,12
18-Jun,6/18/2019,18-Jun-19,169/2019,2019206318,43634,3,3,11,12
19-Jun,6/19/2019,19-Jun-19,170/2019,2019206319,43635,3,3,11,12
20-Jun,6/20/2019,20-Jun-19,171/2019,2019206320,43636,3,3,11,12
21-Jun,6/21/2019,21-Jun-19,172/2019,2019206321,43637,3,3,11,12
22-Jun,6/22/2019,22-Jun-19,173/2019,2019206422,43638,3,4,11,12
23-Jun,6/23/2019,23-Jun-19,174/2019,2019206423,43639,4,4,12,12
24-Jun,6/24/2019,24-Jun-19,175/2019,2019206424,43640,4,4,12,13
25-Jun,6/25/2019,25-Jun-19,176/2019,2019206425,43641,4,4,12,13
26-Jun,6/26/2019,26-Jun-19,177/2019,2019206426,43642,4,4,12,13
27-Jun,6/27/2019,27-Jun-19,178/2019,2019206427,43643,4,4,12,13
28-Jun,6/28/2019,28-Jun-19,179/2019,2019206428,43644,4,4,12,13
29-Jun,6/29/2019,29-Jun-19,180/2019,2019206529,43645,4,5,12,13
30-Jun,6/30/2019,30-Jun-19,181/2019,2019206530,43646,5,5,13,13
1-Jul,7/1/2019,1-Jul-19,182/2019,2019307101,43647,0,1,0,1
2-Jul,7/2/2019,2-Jul-19,183/2019,2019307102,43648,0,1,0,1
3-Jul,7/3/2019,3-Jul-19,184/2019,2019307103,43649,0,1,0,1
4-Jul,7/4/2019,4-Jul-19,185/2019,2019307104,43650,0,1,0,1
5-Jul,7/5/2019,5-Jul-19,186/2019,2019307105,43651,0,1,0,1
6-Jul,7/6/2019,6-Jul-19,187/2019,2019307106,43652,0,1,0,1
7-Jul,7/7/2019,7-Jul-19,188/2019,2019307107,43653,1,1,1,1
8-Jul,7/8/2019,8-Jul-19,189/2019,2019307208,43654,1,2,1,2
9-Jul,7/9/2019,9-Jul-19,190/2019,2019307209,43655,1,2,1,2
10-Jul,7/10/2019,10-Jul-19,191/2019,2019307210,43656,1,2,1,2
11-Jul,7/11/2019,11-Jul-19,192/2019,2019307211,43657,1,2,1,2
12-Jul,7/12/2019,12-Jul-19,193/2019,2019307212,43658,1,2,1,2
13-Jul,7/13/2019,13-Jul-19,194/2019,2019307213,43659,1,2,1,2
14-Jul,7/14/2019,14-Jul-19,195/2019,2019307214,43660,2,2,2,2
15-Jul,7/15/2019,15-Jul-19,196/2019,2019307315,43661,2,3,2,3
16-Jul,7/16/2019,16-Jul-19,197/2019,2019307316,43662,2,3,2,3
17-Jul,7/17/2019,17-Jul-19,198/2019,2019307317,43663,2,3,2,3
18-Jul,7/18/2019,18-Jul-19,199/2019,2019307318,43664,2,3,2,3
19-Jul,7/19/2019,19-Jul-19,200/2019,2019307319,43665,2,3,2,3
20-Jul,7/20/2019,20-Jul-19,201/2019,2019307320,43666,2,3,2,3
21-Jul,7/21/2019,21-Jul-19,202/2019,2019307321,43667,3,3,3,3
22-Jul,7/22/2019,22-Jul-19,203/2019,2019307422,43668,3,4,3,4
23-Jul,7/23/2019,23-Jul-19,204/2019,2019307423,43669,3,4,3,4
24-Jul,7/24/2019,24-Jul-19,205/2019,2019307424,43670,3,4,3,4
25-Jul,7/25/2019,25-Jul-19,206/2019,2019307425,43671,3,4,3,4
26-Jul,7/26/2019,26-Jul-19,207/2019,2019307426,43672,3,4,3,4
27-Jul,7/27/2019,27-Jul-19,208/2019,2019307427,43673,3,4,3,4
28-Jul,7/28/2019,28-Jul-19,209/2019,2019307428,43674,4,4,4,4
29-Jul,7/29/2019,29-Jul-19,210/2019,2019307529,43675,4,5,4,5
30-Jul,7/30/2019,30-Jul-19,211/2019,2019307530,43676,4,5,4,5
31-Jul,7/31/2019,31-Jul-19,212/2019,2019307531,43677,4,5,4,5
1-Aug,8/1/2019,1-Aug-19,213/2019,2019308101,43678,0,1,4,5
2-Aug,8/2/2019,2-Aug-19,214/2019,2019308102,43679,0,1,4,5
3-Aug,8/3/2019,3-Aug-19,215/2019,2019308103,43680,0,1,4,5
4-Aug,8/4/2019,4-Aug-19,216/2019,2019308104,43681,1,1,5,5
5-Aug,8/5/2019,5-Aug-19,217/2019,2019308105,43682,1,1,5,6
6-Aug,8/6/2019,6-Aug-19,218/2019,2019308106,43683,1,1,5,6
7-Aug,8/7/2019,7-Aug-19,219/2019,2019308107,43684,1,1,5,6
8-Aug,8/8/2019,8-Aug-19,220/2019,2019308208,43685,1,2,5,6
9-Aug,8/9/2019,9-Aug-19,221/2019,2019308209,43686,1,2,5,6
10-Aug,8/10/2019,10-Aug-19,222/2019,2019308210,43687,1,2,5,6
11-Aug,8/11/2019,11-Aug-19,223/2019,2019308211,43688,2,2,6,6
12-Aug,8/12/2019,12-Aug-19,224/2019,2019308212,43689,2,2,6,7
13-Aug,8/13/2019,13-Aug-19,225/2019,2019308213,43690,2,2,6,7
14-Aug,8/14/2019,14-Aug-19,226/2019,2019308214,43691,2,2,6,7
15-Aug,8/15/2019,15-Aug-19,227/2019,2019308315,43692,2,3,6,7
16-Aug,8/16/2019,16-Aug-19,228/2019,2019308316,43693,2,3,6,7
17-Aug,8/17/2019,17-Aug-19,229/2019,2019308317,43694,2,3,6,7
18-Aug,8/18/2019,18-Aug-19,230/2019,2019308318,43695,3,3,7,7
19-Aug,8/19/2019,19-Aug-19,231/2019,2019308319,43696,3,3,7,8
20-Aug,8/20/2019,20-Aug-19,232/2019,2019308320,43697,3,3,7,8
21-Aug,8/21/2019,21-Aug-19,233/2019,2019308321,43698,3,3,7,8
22-Aug,8/22/2019,22-Aug-19,234/2019,2019308422,43699,3,4,7,8
23-Aug,8/23/2019,23-Aug-19,235/2019,2019308423,43700,3,4,7,8
24-Aug,8/24/2019,24-Aug-19,236/2019,2019308424,43701,3,4,7,8
25-Aug,8/25/2019,25-Aug-19,237/2019,2019308425,43702,4,4,8,8
26-Aug,8/26/2019,26-Aug-19,238/2019,2019308426,43703,4,4,8,9
27-Aug,8/27/2019,27-Aug-19,239/2019,2019308427,43704,4,4,8,9
28-Aug,8/28/2019,28-Aug-19,240/2019,2019308428,43705,4,4,8,9
29-Aug,8/29/2019,29-Aug-19,241/2019,2019308529,43706,4,5,8,9
30-Aug,8/30/2019,30-Aug-19,242/2019,2019308530,43707,4,5,8,9
31-Aug,8/31/2019,31-Aug-19,243/2019,2019308531,43708,4,5,8,9
1-Sep,9/1/2019,1-Sep-19,244/2019,2019309101,43709,1,1,9,9
2-Sep,9/2/2019,2-Sep-19,245/2019,2019309102,43710,1,1,9,10
3-Sep,9/3/2019,3-Sep-19,246/2019,2019309103,43711,1,1,9,10
4-Sep,9/4/2019,4-Sep-19,247/2019,2019309104,43712,1,1,9,10
5-Sep,9/5/2019,5-Sep-19,248/2019,2019309105,43713,1,1,9,10
6-Sep,9/6/2019,6-Sep-19,249/2019,2019309106,43714,1,1,9,10
7-Sep,9/7/2019,7-Sep-19,250/2019,2019309107,43715,1,1,9,10
8-Sep,9/8/2019,8-Sep-19,251/2019,2019309208,43716,2,2,10,10
9-Sep,9/9/2019,9-Sep-19,252/2019,2019309209,43717,2,2,10,11
10-Sep,9/10/2019,10-Sep-19,253/2019,2019309210,43718,2,2,10,11
11-Sep,9/11/2019,11-Sep-19,254/2019,2019309211,43719,2,2,10,11
12-Sep,9/12/2019,12-Sep-19,255/2019,2019309212,43720,2,2,10,11
13-Sep,9/13/2019,13-Sep-19,256/2019,2019309213,43721,2,2,10,11
14-Sep,9/14/2019,14-Sep-19,257/2019,2019309214,43722,2,2,10,11
15-Sep,9/15/2019,15-Sep-19,258/2019,2019309315,43723,3,3,11,11
16-Sep,9/16/2019,16-Sep-19,259/2019,2019309316,43724,3,3,11,12
17-Sep,9/17/2019,17-Sep-19,260/2019,2019309317,43725,3,3,11,12
18-Sep,9/18/2019,18-Sep-19,261/2019,2019309318,43726,3,3,11,12
19-Sep,9/19/2019,19-Sep-19,262/2019,2019309319,43727,3,3,11,12
20-Sep,9/20/2019,20-Sep-19,263/2019,2019309320,43728,3,3,11,12
21-Sep,9/21/2019,21-Sep-19,264/2019,2019309321,43729,3,3,11,12
22-Sep,9/22/2019,22-Sep-19,265/2019,2019309422,43730,4,4,12,12
23-Sep,9/23/2019,23-Sep-19,266/2019,2019309423,43731,4,4,12,13
24-Sep,9/24/2019,24-Sep-19,267/2019,2019309424,43732,4,4,12,13
25-Sep,9/25/2019,25-Sep-19,268/2019,2019309425,43733,4,4,12,13
26-Sep,9/26/2019,26-Sep-19,269/2019,2019309426,43734,4,4,12,13
27-Sep,9/27/2019,27-Sep-19,270/2019,2019309427,43735,4,4,12,13
28-Sep,9/28/2019,28-Sep-19,271/2019,2019309428,43736,4,4,12,13
29-Sep,9/29/2019,29-Sep-19,272/2019,2019309529,43737,5,5,13,13
30-Sep,9/30/2019,30-Sep-19,273/2019,2019309530,43738,5,5,13,14
1-Oct,10/1/2019,1-Oct-19,274/2019,2019410101,43739,0,1,0,1
2-Oct,10/2/2019,2-Oct-19,275/2019,2019410102,43740,0,1,0,1
3-Oct,10/3/2019,3-Oct-19,276/2019,2019410103,43741,0,1,0,1
4-Oct,10/4/2019,4-Oct-19,277/2019,2019410104,43742,0,1,0,1
5-Oct,10/5/2019,5-Oct-19,278/2019,2019410105,43743,0,1,0,1
6-Oct,10/6/2019,6-Oct-19,279/2019,2019410106,43744,1,1,1,1
